building_name,building_type,address,floor,transport,building_age,building_materials,room_floor,rent_fee,management_fee,deposit,gift_money,house_plan,house_area
四谷アパートメント,マンション,東京都新宿区須賀町,4階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩5分ＪＲ総武線 信濃町駅/徒歩9分東京メトロ南北線 四ツ谷駅/徒歩12分,築17年,鉄筋コンクリート,1階,20.5万円,"10,000円",1ヶ月,1ヶ月,1LDK,57.53m²
ＳｏＫｏ　ＰＡＲＣＯ,マンション,東京都新宿区百人町３丁目,5階建て, ＪＲ総武線 大久保駅/徒歩11分ＪＲ山手線 新大久保駅/徒歩11分ＪＲ山手線 高田馬場駅/徒歩12分,築0年,鉄筋コンクリート,3階,13.2万円,"5,000円",－,1ヶ月,1LDK,27.31m²
レジディア市ヶ谷,マンション,東京都新宿区市谷本村町,14階建て, 東京メトロ南北線 市ケ谷駅/徒歩5分東京メトロ丸ノ内線 四ツ谷駅/徒歩8分都営新宿線 曙橋駅/徒歩10分,築18年,鉄骨鉄筋コンクリート,6階,24.4万円,"15,000円",1ヶ月,2ヶ月,2LDK,53.1m²
河田町ガーデン　１号棟,マンション,東京都新宿区河田町,41階建て, 都営新宿線 曙橋駅/徒歩4分都営大江戸線 若松河田駅/徒歩6分都営大江戸線 牛込柳町駅/徒歩9分,築20年,鉄筋コンクリート,29階,25.86万円,"10,000円",－,－,1R,56.14m²
アルカーデンシティリンクス新宿,マンション,東京都新宿区大久保２丁目,12階建て, ＪＲ山手線 新大久保駅/徒歩8分東京メトロ副都心線 東新宿駅/徒歩3分東京メトロ副都心線 西早稲田駅/徒歩13分,築22年,鉄骨鉄筋コンクリート,6階,8.5万円,"10,000円",1ヶ月,1ヶ月,1R,26.26m²
レジディア新宿イースト,マンション,東京都新宿区新宿５丁目,8階建て, 東京メトロ丸ノ内線 新宿三丁目駅/徒歩5分東京メトロ丸ノ内線 新宿御苑前駅/徒歩6分ＪＲ総武線 新宿駅/徒歩10分,築22年,鉄骨鉄筋コンクリート,2階,9.4万円,"10,000円",1ヶ月,1ヶ月,1K,23.79m²
三鶴屋ハウス,マンション,東京都新宿区中落合３丁目,8階建て, 都営大江戸線 落合南長崎駅/徒歩8分西武池袋・豊島線 椎名町駅/徒歩9分ＪＲ山手線 目白駅/徒歩20分,築23年,鉄筋コンクリート,2階,9万円,"5,000円",0.5ヶ月,0.5ヶ月,1R,27.37m²
ハイツ・サン,アパート,東京都新宿区高田馬場４丁目,2階建て, ＪＲ山手線 高田馬場駅/徒歩3分東京メトロ副都心線 西早稲田駅/徒歩14分西武鉄道新宿線 下落合駅/徒歩16分,築25年,木造,1階,8.2万円,"3,000円",1ヶ月,1ヶ月,1K,26.22m²
プレール西新宿,マンション,東京都新宿区西新宿８丁目,8階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩2分都営大江戸線 都庁前駅/徒歩12分ＪＲ山手線 新宿駅/徒歩12分,築25年,鉄筋コンクリート,4階,7.9万円,"8,000円",1ヶ月,1ヶ月,1R,19.59m²
フラワーハウス,アパート,東京都新宿区上落合２丁目,3階建て, 西武鉄道新宿線 下落合駅/徒歩5分都営大江戸線 中井駅/徒歩8分東京メトロ東西線 落合駅/徒歩11分,築27年,木造,2階,5.9万円,"3,000円",－,－,1K,16.01m²
