building_name,building_type,address,floor,transport,building_age,building_materials,room_floor,rent_fee,management_fee,deposit,gift_money,house_plan,house_area
ＳｏＫｏ　ＰＡＲＣＯ,マンション,東京都新宿区百人町３丁目,5階建て, ＪＲ総武線 大久保駅/徒歩11分ＪＲ山手線 新大久保駅/徒歩11分ＪＲ山手線 高田馬場駅/徒歩12分,築0年,鉄筋コンクリート,3階,13.2万円,"5,000円",－,1ヶ月,1LDK,27.31m²
メゾンドシエル,マンション,東京都新宿区北新宿２丁目,3階建て, 東京メトロ丸ノ内線 中野坂上駅/徒歩9分東京メトロ丸ノ内線 西新宿駅/徒歩10分ＪＲ総武線 東中野駅/徒歩14分,築9年,鉄筋コンクリート,1階,12.8万円,－,1ヶ月,1ヶ月,1DK,35.47m²
マイネシュロッス四谷２０４号室,マンション,東京都新宿区左門町,14階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩1分都営新宿線 曙橋駅/徒歩8分中央本線（ＪＲ東日本） 四ツ谷駅/徒歩11分,築18年,鉄骨鉄筋コンクリート,2階,11万円,"6,000円",－,－,1K,26.04m²
メゾン・ド・ヴィレ市ヶ谷,マンション,東京都新宿区市谷本村町,8階建て, ＪＲ総武線 市ケ谷駅/徒歩4分中央本線（ＪＲ東日本） 四ツ谷駅/徒歩8分東京メトロ有楽町線 麹町駅/徒歩17分,築23年,鉄筋コンクリート,2階,8.9万円,"10,000円",－,－,1K,25.85m²
パインコーポ,アパート,東京都新宿区北新宿２丁目,2階建て, 東京メトロ丸ノ内線 中野坂上駅/徒歩8分東京メトロ丸ノ内線 西新宿駅/徒歩8分ＪＲ総武線 大久保駅/徒歩12分,築33年,木造,1階,7.8万円,－,1ヶ月,1ヶ月,1DK,22.08m²
ＣＬＡＳＳＥＵＭ飯田橋,マンション,東京都新宿区新小川町,8階建て, ＪＲ総武線 飯田橋駅/徒歩6分都営大江戸線 牛込神楽坂駅/徒歩8分東京メトロ東西線 神楽坂駅/徒歩11分,築0年,鉄筋コンクリート,1階,14.8万円,"10,000円",－,－,2K,30.03m²
ＨＦ西新宿レジデンスＷＥＳＴ,マンション,東京都新宿区西新宿８丁目,12階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩5分ＪＲ総武線 大久保駅/徒歩7分西武鉄道新宿線 西武新宿駅/徒歩7分,築16年,鉄筋コンクリート,4階,13.2万円,"12,000円",1ヶ月,－,1DK,32.64m²
ヴィラ若松町,一戸建て,東京都新宿区若松町,2階建て, 都営大江戸線 若松河田駅/徒歩5分都営大江戸線 東新宿駅/徒歩6分都営大江戸線 牛込柳町駅/徒歩13分,築44年,鉄骨造,1階,20万円,－,2ヶ月,1ヶ月,2SLDK,70m²
フレシール中落合,マンション,東京都新宿区中落合１丁目,3階建て, 都営大江戸線 中井駅/徒歩5分西武鉄道新宿線 下落合駅/徒歩8分東京メトロ東西線 落合駅/徒歩12分,築3年,鉄筋コンクリート,3階,5.8万円,"10,000円",－,－,1R,9.14m²
四ッ谷フラッツ,マンション,東京都新宿区荒木町,6階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩4分都営新宿線 曙橋駅/徒歩7分東京メトロ丸ノ内線 四ツ谷駅/徒歩10分,築16年,鉄骨造,3階,9.7万円,"6,000円",1ヶ月,－,1K,24.59m²
トリノマンション,マンション,東京都新宿区富久町,3階建て, 都営新宿線 曙橋駅/徒歩10分東京メトロ副都心線 東新宿駅/徒歩10分東京メトロ丸ノ内線 新宿御苑前駅/徒歩12分,築30年,鉄骨造,2階,9.8万円,"5,000円",－,－,2DK,35.23m²
東京都新宿区中落合１丁目,マンション,東京都新宿区中落合１丁目,3階建て, 都営大江戸線 中井駅/徒歩5分西武鉄道新宿線 下落合駅/徒歩8分東京メトロ東西線 落合駅/徒歩12分,築3年,鉄筋コンクリート,3階,5.8万円,"10,000円",－,－,1R,9.14m²
ビーンズ　ハウス,アパート,東京都新宿区原町２丁目,3階建て, 東京メトロ東西線 早稲田駅/徒歩5分都営大江戸線 牛込柳町駅/徒歩7分都営新宿線 曙橋駅/徒歩17分,築2年,木造,2階,12.1万円,"3,000円",1ヶ月,1ヶ月,1LDK,40.05m²
ハナブサワンハイム,アパート,東京都新宿区高田馬場３丁目,2階建て, ＪＲ山手線 高田馬場駅/徒歩7分,築19年,木造,1階,5.6万円,"3,000円",1ヶ月,－,1R,12.2m²
サンシャインマンション,マンション,東京都新宿区北新宿２丁目,4階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩8分東京メトロ丸ノ内線 中野坂上駅/徒歩10分ＪＲ総武線 大久保駅/徒歩10分,築0年,鉄筋コンクリート,1階,45.76万円,－,6ヶ月,1ヶ月,店舗,85.87m²
Ｂａｌｍｏｒａｌ（バルモラル）,アパート,東京都新宿区上落合３丁目,3階建て, 東京メトロ東西線 落合駅/徒歩3分西武鉄道新宿線 中井駅/徒歩7分都営大江戸線 東中野駅/徒歩13分,築8年,木造,3階,8.5万円,"2,000円",1ヶ月,1ヶ月,1K,35.6m²
コージー新宿,マンション,東京都新宿区新宿６丁目,3階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩5分東京メトロ丸ノ内線 新宿三丁目駅/徒歩6分ＪＲ山手線 新宿駅/徒歩13分,築38年,鉄筋コンクリート,3階,5.5万円,"5,000円",1ヶ月,1ヶ月,1K,16.15m²
エクスクルーシブ中井ＰＡＲＴⅡ,マンション,東京都新宿区中落合４丁目,4階建て, 都営大江戸線 落合南長崎駅/徒歩5分都営大江戸線 中井駅/徒歩9分東京メトロ東西線 落合駅/徒歩15分,築33年,鉄筋コンクリート,1階,5.8万円,"3,000円",1ヶ月,－,1R,22.02m²
ＳｏＫｏ　ＰＡＲＣＯ,マンション,東京都新宿区百人町３丁目,5階建て, ＪＲ総武線 大久保駅/徒歩11分ＪＲ山手線 新大久保駅/徒歩11分ＪＲ山手線 高田馬場駅/徒歩12分,築0年,鉄筋コンクリート,1階,11万円,"5,000円",－,1ヶ月,1K,25.08m²
クレール西新宿,アパート,東京都新宿区西新宿４丁目,3階建て, 都営大江戸線 西新宿五丁目駅/徒歩8分京王電鉄京王線 初台駅/徒歩11分都営大江戸線 都庁前駅/徒歩16分,築8年,木造,1階,8.1万円,"2,000円",1ヶ月,1ヶ月,1K,25.05m²
オープンレジデンシア新宿余丁町,マンション,東京都新宿区余丁町,6階建て, 都営大江戸線 若松河田駅/徒歩4分都営新宿線 曙橋駅/徒歩11分都営大江戸線 東新宿駅/徒歩11分,築7年,鉄筋コンクリート,1階,17.8万円,"12,000円",1ヶ月,1ヶ月,1LDK,50.57m²
ＳｏＫｏ　ＰＡＲＣＯ,マンション,東京都新宿区百人町３丁目,5階建て, ＪＲ総武線 大久保駅/徒歩11分ＪＲ山手線 新大久保駅/徒歩11分ＪＲ山手線 高田馬場駅/徒歩12分,築0年,鉄筋コンクリート,1階,11万円,"5,000円",－,1ヶ月,1K,25.08m²
ＨＪ　ＰＬＡＣＥ　東新宿,マンション,東京都新宿区余丁町,4階建て, 都営大江戸線 若松河田駅/徒歩5分都営新宿線 曙橋駅/徒歩11分都営大江戸線 東新宿駅/徒歩13分,築0年,鉄筋コンクリート,2階,8.4万円,"6,000円",－,－,1R,12m²
東京都新宿区西落合１丁目,マンション,東京都新宿区西落合１丁目,5階建て, 都営大江戸線 落合南長崎駅/徒歩7分西武鉄道新宿線 新井薬師前駅/徒歩14分都営大江戸線 中井駅/徒歩13分,築1年,鉄筋コンクリート,2階,9.45万円,"12,000円",－,－,1K,25.51m²
東京都新宿区上落合１丁目,マンション,東京都新宿区上落合１丁目,4階建て, 東京メトロ東西線 落合駅/徒歩5分都営大江戸線 中井駅/徒歩8分西武鉄道新宿線 下落合駅/徒歩9分,築1年,鉄筋コンクリート,1階,10.1万円,"10,000円",－,1ヶ月,1K,25.54m²
市谷鷹匠町レジデンス,マンション,東京都新宿区市谷鷹匠町,5階建て, 東京メトロ南北線 市ケ谷駅/徒歩6分都営大江戸線 牛込神楽坂駅/徒歩8分都営大江戸線 牛込柳町駅/徒歩14分,築1年,鉄筋コンクリート,5階,13.4万円,"9,000円","134,000円",－,1DK,25.37m²
パークアクシス神楽坂・早稲田通り,マンション,東京都新宿区東榎町,13階建て, 東京メトロ東西線 神楽坂駅/徒歩5分東京メトロ有楽町線 江戸川橋駅/徒歩8分都営大江戸線 牛込神楽坂駅/徒歩12分,築1年,鉄筋コンクリート,3階,15.3万円,"12,000円",1ヶ月,－,1DK,30.02m²
東京都新宿区東五軒町,マンション,東京都新宿区東五軒町,5階建て, 東京メトロ東西線 神楽坂駅/徒歩8分東京メトロ有楽町線 江戸川橋駅/徒歩8分都営大江戸線 飯田橋駅/徒歩11分,築2年,鉄筋コンクリート,2階,8.2万円,"8,000円",－,1ヶ月,1K,14.13m²
スカイコートグレース新宿中落合,マンション,東京都新宿区中落合１丁目,4階建て, 都営大江戸線 中井駅/徒歩8分西武鉄道新宿線 下落合駅/徒歩10分都営大江戸線 落合南長崎駅/徒歩11分,築2年,鉄筋コンクリート,1階,9.67万円,"8,300円",1ヶ月,1ヶ月,1K,25.86m²
ザ・パークワンズ山吹神楽坂,マンション,東京都新宿区山吹町,7階建て, 東京メトロ有楽町線 江戸川橋駅/徒歩6分東京メトロ東西線 神楽坂駅/徒歩7分都営大江戸線 牛込柳町駅/徒歩15分,築2年,鉄筋コンクリート,7階,10.4万円,"15,000円","104,000円",－,1K,25.53m²
東京都新宿区北新宿３丁目,マンション,東京都新宿区北新宿３丁目,5階建て, 都営大江戸線 東中野駅/徒歩7分ＪＲ総武線 大久保駅/徒歩12分東京メトロ東西線 落合駅/徒歩12分,築2年,鉄筋コンクリート,1階,11.15万円,"10,000円",1ヶ月,－,1K,25.55m²
リーブルグラント西新宿　ＷＥＳＴ,マンション,東京都新宿区西新宿８丁目,13階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩5分都営大江戸線 新宿西口駅/徒歩9分ＪＲ山手線 新宿駅/徒歩13分,築2年,鉄筋コンクリート,3階,12.2万円,"10,000円",1ヶ月,1.5ヶ月,1K,25.37m²
プレール・ドゥーク新宿Ｗｅｓｔ,マンション,東京都新宿区北新宿２丁目,7階建て, 東京メトロ丸ノ内線 西新宿駅/徒歩7分東京メトロ方南支線 中野坂上駅/徒歩8分ＪＲ総武線 大久保駅/徒歩14分,築2年,鉄筋コンクリート,2階,20.3万円,"15,000円",1ヶ月,－,1LDK,40.55m²
ＧＥＮＯＶＩＡ　四谷三丁目　ｇｒｅｅｎ　ｖｅｉｌ,マンション,東京都新宿区大京町,10階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩7分東京メトロ丸ノ内線 新宿御苑前駅/徒歩8分都営大江戸線 国立競技場駅/徒歩10分,築2年,鉄筋コンクリート,1階,13万円,"10,000円",－,－,1K,25.44m²
ピアース神楽坂レジデンス,マンション,東京都新宿区赤城下町,6階建て, 東京メトロ東西線 神楽坂駅/徒歩3分東京メトロ有楽町線 江戸川橋駅/徒歩8分都営大江戸線 牛込神楽坂駅/徒歩9分,築2年,鉄筋コンクリート,1階,21.3万円,"5,000円",1ヶ月,1ヶ月,1LDK,40.8m²
ＰＡＳＥＯ新宿３丁目Ⅰ,マンション,東京都新宿区新宿６丁目,5階建て, 東京メトロ丸ノ内線 新宿三丁目駅/徒歩7分都営大江戸線 東新宿駅/徒歩8分東京メトロ丸ノ内線 新宿御苑前駅/徒歩9分,築2年,鉄筋コンクリート,1階,21万円,"6,000円",－,－,1LDK,44.6m²
ハーモニーレジデンス新宿四谷,マンション,東京都新宿区大京町,5階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩7分ＪＲ総武線 信濃町駅/徒歩8分都営大江戸線 国立競技場駅/徒歩8分,築3年,鉄筋コンクリート,1階,12万円,"15,000円",1ヶ月,－,1DK,25.96m²
ザ・パークハビオ神楽坂香月,マンション,東京都新宿区水道町,8階建て, 東京メトロ有楽町線 江戸川橋駅/徒歩4分東京メトロ東西線 神楽坂駅/徒歩6分都営大江戸線 牛込神楽坂駅/徒歩13分,築3年,鉄筋コンクリート,1階,12.5万円,"10,000円","125,000円",－,1K,27.49m²
Ｂｒｉｌｌｉａ　ｉｓｔ　千駄ヶ谷,マンション,東京都新宿区大京町,10階建て, 都営大江戸線 国立競技場駅/徒歩3分ＪＲ総武線 千駄ケ谷駅/徒歩4分ＪＲ総武線 信濃町駅/徒歩10分,築3年,鉄筋コンクリート,3階,12.6万円,"10,000円",1ヶ月,1ヶ月,1K,26.18m²
グランエッグス西新宿Ｓ,アパート,東京都新宿区西新宿３丁目,3階建て, 京王電鉄京王線 初台駅/徒歩6分都営大江戸線 都庁前駅/徒歩11分都営大江戸線 西新宿五丁目駅/徒歩12分,築4年,木造,3階,11.9万円,"4,000円",－,－,1R,27.55m²
ＡＬＴＥＲＮＡ神楽坂Ⅱ,マンション,東京都新宿区西五軒町,7階建て, 東京メトロ東西線 神楽坂駅/徒歩5分都営大江戸線 飯田橋駅/徒歩10分東京メトロ有楽町線 江戸川橋駅/徒歩8分,築4年,鉄筋コンクリート,2階,11.6万円,"10,000円",－,－,1K,25.05m²
ＡＬＴＥＲＮＡ神楽坂Ⅰ,マンション,東京都新宿区西五軒町,9階建て, 東京メトロ東西線 神楽坂駅/徒歩6分都営大江戸線 牛込神楽坂駅/徒歩9分東京メトロ有楽町線 江戸川橋駅/徒歩9分,築4年,鉄筋コンクリート,1階,20.3万円,"15,000円",－,－,1LDK,40.06m²
ＳｏＫｏ　ＰＡＲＣＯ,マンション,東京都新宿区百人町３丁目,5階建て, ＪＲ総武線 大久保駅/徒歩11分ＪＲ山手線 新大久保駅/徒歩11分ＪＲ山手線 高田馬場駅/徒歩12分,築0年,鉄筋コンクリート,3階,13.2万円,"5,000円",－,1ヶ月,1LDK,27.31m²
飯田橋ガーデンフラッツ,マンション,東京都新宿区新小川町,10階建て, ＪＲ総武線 飯田橋駅/徒歩5分,築4年,鉄筋コンクリート,6階,14.6万円,"15,000円","146,000円","146,000円",1R,32.89m²
フェリスタ落合,アパート,東京都新宿区上落合３丁目,2階建て, 東京メトロ東西線 落合駅/徒歩1分都営大江戸線 東中野駅/徒歩6分西武鉄道新宿線 中井駅/徒歩10分,築5年,木造,1階,6.4万円,"3,500円",－,1ヶ月,1R,10.03m²
東京都新宿区市谷仲之町,マンション,東京都新宿区市谷仲之町,5階建て, 都営新宿線 曙橋駅/徒歩4分都営大江戸線 牛込柳町駅/徒歩11分東京メトロ丸ノ内線 四谷三丁目駅/徒歩11分,築5年,鉄筋コンクリート,3階,11.2万円,"10,000円",1ヶ月,0.5ヶ月,1K,25.52m²
リンデンコート市ヶ谷,マンション,東京都新宿区市谷本村町,12階建て, ＪＲ総武線 市ケ谷駅/徒歩7分中央本線（ＪＲ東日本） 四ツ谷駅/徒歩9分東京メトロ有楽町線 麹町駅/徒歩13分,築5年,鉄筋コンクリート,3階,12.4万円,"10,000円",1ヶ月,1ヶ月,1K,28.05m²
ＺＯＯＭ都庁前,マンション,東京都新宿区西新宿３丁目,15階建て, ＪＲ山手線 新宿駅/徒歩11分都営大江戸線 都庁前駅/徒歩6分京王電鉄京王線 初台駅/徒歩9分,築5年,鉄筋コンクリート,4階,13.4万円,"8,000円",－,－,1K,30.71m²
ｃｏｃｏｔｅｒｒａｃｅ,アパート,東京都新宿区高田馬場２丁目,2階建て, ＪＲ山手線 高田馬場駅/徒歩7分東京メトロ東西線 早稲田駅/徒歩4分都電荒川線 面影橋駅/徒歩9分,築6年,木造,1階,7.3万円,"3,500円",－,－,1R,11.04m²
プレール・ドゥーク東新宿Ⅲ,マンション,東京都新宿区新宿６丁目,13階建て, 都営大江戸線 東新宿駅/徒歩6分都営大江戸線 若松河田駅/徒歩6分ＪＲ山手線 新宿駅/徒歩17分,築6年,鉄筋コンクリート,13階,10.5万円,"8,000円",－,1ヶ月,1K,25.79m²
アイル新宿イースト,マンション,東京都新宿区余丁町,8階建て, 都営大江戸線 若松河田駅/徒歩4分東京メトロ副都心線 東新宿駅/徒歩10分都営新宿線 曙橋駅/徒歩10分,築6年,鉄筋コンクリート,3階,11.9万円,"10,000円",1ヶ月,1ヶ月,1DK,25.08m²
ドムス・スタイル神楽坂,マンション,東京都新宿区東五軒町,11階建て, ＪＲ総武線 飯田橋駅/徒歩9分東京メトロ東西線 神楽坂駅/徒歩11分東京メトロ有楽町線 江戸川橋駅/徒歩9分,築6年,鉄筋コンクリート,7階,11.5万円,"10,000円",－,－,1K,25.5m²
東京都新宿区新宿４丁目,マンション,東京都新宿区新宿４丁目,4階建て, 東京メトロ丸ノ内線 新宿三丁目駅/徒歩2分ＪＲ山手線 新宿駅/徒歩5分東京メトロ丸ノ内線 新宿御苑前駅/徒歩9分,築7年,鉄骨造,3階,8.6万円,"5,000円",1ヶ月,1ヶ月,1R,19.3m²
プライムメゾン市谷山伏町,マンション,東京都新宿区市谷山伏町,13階建て, 都営大江戸線 牛込柳町駅/徒歩4分都営大江戸線 牛込神楽坂駅/徒歩10分都営大江戸線 若松河田駅/徒歩11分,築7年,鉄筋コンクリート,1階,9.6万円,"10,000円",1ヶ月,－,1K,26.29m²
東京都新宿区市谷山伏町,マンション,東京都新宿区市谷山伏町,13階建て, 都営大江戸線 牛込柳町駅/徒歩4分都営大江戸線 牛込神楽坂駅/徒歩10分都営大江戸線 若松河田駅/徒歩11分,築7年,鉄筋コンクリート,1階,9.6万円,"10,000円",1ヶ月,－,1K,26.29m²
ジェノヴィア新宿グリーンヴェール,マンション,東京都新宿区新宿７丁目,14階建て, 都営大江戸線 東新宿駅/徒歩1分東京メトロ副都心線 西早稲田駅/徒歩10分ＪＲ山手線 新大久保駅/徒歩13分,築7年,鉄筋コンクリート,3階,11.6万円,"10,000円",1ヶ月,1ヶ月,1K,26.93m²
ＬＡＰｉＳ四谷三丁目,マンション,東京都新宿区愛住町,4階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩3分都営新宿線 曙橋駅/徒歩9分東京メトロ丸ノ内線 新宿御苑前駅/徒歩9分,築7年,鉄筋コンクリート,2階,12.8万円,"8,000円",－,－,1R,26.24m²
東京都新宿区早稲田町,マンション,東京都新宿区早稲田町,9階建て, 東京メトロ東西線 早稲田駅/徒歩6分東京メトロ東西線 神楽坂駅/徒歩10分都営大江戸線 牛込柳町駅/徒歩10分,築7年,鉄筋コンクリート,4階,13.6万円,"11,000円",－,1ヶ月,1K,34.92m²
ＢＬＥＳＳ北新宿,マンション,東京都新宿区北新宿１丁目,5階建て, ＪＲ総武線 大久保駅/徒歩8分東京メトロ丸ノ内線 西新宿駅/徒歩10分ＪＲ山手線 新大久保駅/徒歩12分,築7年,鉄筋コンクリート,1階,18.5万円,"12,000円","185,000円","185,000円",1R,45.82m²
東京都新宿区富久町,マンション,東京都新宿区富久町,55階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩5分都営新宿線 曙橋駅/徒歩9分東京メトロ副都心線 新宿三丁目駅/徒歩8分,築7年,鉄筋コンクリート,25階,35.8万円,－,2ヶ月,1ヶ月,2LDK,58.03m²
コンフォリア神楽坂ＤＥＵＸ,マンション,東京都新宿区岩戸町,13階建て, 都営大江戸線 牛込神楽坂駅/徒歩2分東京メトロ東西線 神楽坂駅/徒歩6分都営大江戸線 飯田橋駅/徒歩8分,築9年,鉄筋コンクリート,10階,12.9万円,"8,000円","129,000円",－,1K,26.22m²
ザ・ミッドハウス新宿御苑,マンション,東京都新宿区新宿１丁目,14階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩2分東京メトロ丸ノ内線 新宿三丁目駅/徒歩8分東京メトロ丸ノ内線 四谷三丁目駅/徒歩10分,築9年,鉄筋コンクリート,4階,15万円,"10,000円","150,000円","150,000円",1R,30.22m²
ガリシア新宿都庁前,マンション,東京都新宿区西新宿４丁目,6階建て, 都営大江戸線 西新宿五丁目駅/徒歩4分都営大江戸線 都庁前駅/徒歩8分東京メトロ丸ノ内線 西新宿駅/徒歩13分,築10年,鉄筋コンクリート,2階,9.8万円,"12,000円",1ヶ月,1ヶ月,1K,25.35m²
ＳｏＫｏ　ＰＡＲＣＯ,マンション,東京都新宿区百人町３丁目,5階建て, ＪＲ総武線 大久保駅/徒歩11分ＪＲ山手線 新大久保駅/徒歩11分ＪＲ山手線 高田馬場駅/徒歩12分,築0年,鉄筋コンクリート,1階,11万円,"5,000円",－,1ヶ月,1K,25.08m²
ホワイトジンファンデル神楽坂,マンション,東京都新宿区弁天町,4階建て, 東京メトロ東西線 早稲田駅/徒歩8分東京メトロ東西線 神楽坂駅/徒歩8分都営大江戸線 牛込柳町駅/徒歩9分,築11年,鉄骨造,1階,8.7万円,"3,000円",1ヶ月,1ヶ月,1R,24.84m²
東京都新宿区北新宿４丁目,マンション,東京都新宿区北新宿４丁目,7階建て, 都営大江戸線 東中野駅/徒歩8分ＪＲ総武線 大久保駅/徒歩11分東京メトロ東西線 落合駅/徒歩11分,築11年,鉄筋コンクリート,4階,12.6万円,"10,000円",1ヶ月,－,1R,31.98m²
メゾントレフル,アパート,東京都新宿区若葉１丁目,2階建て, 東京メトロ丸ノ内線 四ツ谷駅/徒歩6分東京メトロ丸ノ内線 四谷三丁目駅/徒歩13分ＪＲ総武線 信濃町駅/徒歩14分,築11年,木造,1階,16.7万円,"3,000円",1ヶ月,1ヶ月,1LDK,44.3m²
レジディア四谷三丁目,マンション,東京都新宿区荒木町,10階建て, 都営新宿線 曙橋駅/徒歩2分東京メトロ丸ノ内線 四谷三丁目駅/徒歩7分ＪＲ総武線 四ツ谷駅/徒歩14分,築13年,鉄筋コンクリート,9階,15万円,"10,000円",1ヶ月,2ヶ月,1R,38.5m²
ＰＲＩＭＥ　ＵＲＢＡＮ　東中野　ＣＯＵＲＴ,マンション,東京都新宿区北新宿４丁目,10階建て, ＪＲ総武線 東中野駅/徒歩8分東京メトロ東西線 落合駅/徒歩8分西武鉄道新宿線 下落合駅/徒歩12分,築13年,鉄筋コンクリート,1階,16.7万円,"13,000円",1ヶ月,1ヶ月,1LDK,44.85m²
パークキューブ四谷三丁目,マンション,東京都新宿区荒木町,10階建て, 都営新宿線 曙橋駅/徒歩3分東京メトロ丸ノ内線 四谷三丁目駅/徒歩6分都営大江戸線 若松河田駅/徒歩13分,築14年,鉄筋コンクリート,1階,10.4万円,"8,000円",1ヶ月,1ヶ月,1R,24.6m²
トレステージ四谷,マンション,東京都新宿区左門町,11階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩5分ＪＲ総武線 信濃町駅/徒歩9分都営新宿線 曙橋駅/徒歩12分,築14年,鉄骨造,6階,14.6万円,"12,000円",1ヶ月,1ヶ月,1K,31.51m²
ランテンヌ四谷,マンション,東京都新宿区若葉１丁目,7階建て, ＪＲ総武線 四ツ谷駅/徒歩8分東京メトロ丸ノ内線 四谷三丁目駅/徒歩6分ＪＲ総武線 信濃町駅/徒歩13分,築14年,鉄筋コンクリート,3階,29.5万円,"10,000円",1ヶ月,1ヶ月,1LDK,60.62m²
アドバンス明豊,マンション,東京都新宿区四谷坂町,4階建て, 都営新宿線 曙橋駅/徒歩4分東京メトロ丸ノ内線 四谷三丁目駅/徒歩8分東京メトロ南北線 四ツ谷駅/徒歩11分,築15年,鉄筋コンクリート,1階,8.9万円,－,2ヶ月,－,1K,20.25m²
コンフォリア東中野,マンション,東京都新宿区北新宿４丁目,7階建て, 都営大江戸線 東中野駅/徒歩7分東京メトロ東西線 落合駅/徒歩9分ＪＲ総武線 大久保駅/徒歩14分,築15年,鉄筋コンクリート,2階,8.5万円,"5,000円","85,000円",－,1R,20.01m²
ガーラ・ステーション新宿御苑前,マンション,東京都新宿区新宿１丁目,15階建て, 東京メトロ丸ノ内線 新宿御苑前駅/徒歩2分東京メトロ丸ノ内線 新宿三丁目駅/徒歩6分東京メトロ丸ノ内線 四谷三丁目駅/徒歩12分,築15年,鉄筋コンクリート,3階,10.25万円,"9,000円",1ヶ月,1.5ヶ月,1K,23.49m²
ディモーラ,マンション,東京都新宿区西新宿３丁目,8階建て, 京王電鉄京王線 初台駅/徒歩6分都営大江戸線 都庁前駅/徒歩10分ＪＲ山手線 新宿駅/徒歩14分,築15年,鉄筋コンクリート,4階,13.8万円,"7,000円",1ヶ月,1ヶ月,1K,39.91m²
Ｃｏｌｌｉｎｅ白銀,マンション,東京都新宿区白銀町,3階建て, 都営大江戸線 牛込神楽坂駅/徒歩5分東京メトロ東西線 神楽坂駅/徒歩5分都営大江戸線 飯田橋駅/徒歩8分,築15年,鉄筋コンクリート,1階,30万円,"10,000円",1ヶ月,1ヶ月,1LDK,75.12m²
ステージファースト西新宿,マンション,東京都新宿区西新宿５丁目,14階建て, 都営大江戸線 西新宿五丁目駅/徒歩5分都営大江戸線 都庁前駅/徒歩7分東京メトロ丸ノ内線 中野坂上駅/徒歩9分,築16年,鉄筋コンクリート,10階,8.2万円,"5,000円",1ヶ月,1ヶ月,1K,20.33m²
グランフォート　余丁町,マンション,東京都新宿区余丁町,10階建て, 都営大江戸線 若松河田駅/徒歩3分都営大江戸線 東新宿駅/徒歩10分都営新宿線 曙橋駅/徒歩18分,築16年,鉄筋コンクリート,8階,8.4万円,"6,000円",1ヶ月,1ヶ月,1K,22.36m²
アクシルコート市谷台町坂,マンション,東京都新宿区住吉町,7階建て, 都営新宿線 曙橋駅/徒歩3分東京メトロ丸ノ内線 四谷三丁目駅/徒歩9分東京メトロ丸ノ内線 新宿御苑前駅/徒歩13分,築16年,鉄骨鉄筋コンクリート,3階,19.5万円,"15,000円",2ヶ月,－,1LDK,45.8m²
東京都新宿区市谷砂土原町２丁目,マンション,東京都新宿区市谷砂土原町２丁目,5階建て, 東京メトロ南北線 市ケ谷駅/徒歩5分東京メトロ東西線 神楽坂駅/徒歩13分都営大江戸線 飯田橋駅/徒歩15分,築17年,鉄筋コンクリート,4階,8.8万円,"7,000円",－,－,1K,18.2m²
ザ・パーククロス市ヶ谷,マンション,東京都新宿区市谷砂土原町２丁目,5階建て, 東京メトロ南北線 市ケ谷駅/徒歩5分東京メトロ東西線 神楽坂駅/徒歩13分都営大江戸線 飯田橋駅/徒歩15分,築17年,鉄筋コンクリート,4階,8.8万円,"7,000円",－,－,1K,18.2m²
パレステュディオ四谷三丁目,マンション,東京都新宿区荒木町,8階建て, 都営新宿線 曙橋駅/徒歩2分東京メトロ丸ノ内線 四谷三丁目駅/徒歩6分ＪＲ総武線 四ツ谷駅/徒歩13分,築17年,鉄筋コンクリート,4階,10万円,"10,500円",－,1ヶ月,1K,21.88m²
プリムヴェール四谷,マンション,東京都新宿区荒木町,13階建て, 東京メトロ丸ノ内線 四谷三丁目駅/徒歩6分都営新宿線 曙橋駅/徒歩9分中央本線（ＪＲ東日本） 四ツ谷駅/徒歩10分,築17年,鉄筋コンクリート,4階,10.7万円,"6,000円",－,1ヶ月,1K,30.33m²
ＳｏＫｏ　ＰＡＲＣＯ,マンション,東京都新宿区百人町３丁目,5階建て, ＪＲ総武線 大久保駅/徒歩11分ＪＲ山手線 新大久保駅/徒歩11分ＪＲ山手線 高田馬場駅/徒歩12分,築0年,鉄筋コンクリート,3階,13.2万円,"5,000円",－,1ヶ月,1LDK,27.98m²
ＣＩＴＹ　ＳＰＩＲＥ若松町,マンション,東京都新宿区若松町,5階建て, 都営大江戸線 若松河田駅/徒歩8分都営大江戸線 東新宿駅/徒歩10分東京メトロ副都心線 西早稲田駅/徒歩15分,築17年,鉄筋コンクリート,3階,16万円,"10,000円",1ヶ月,1ヶ月,1DK,36.83m²
